IATA,Countries,Cities,Type Point,Location
AQI, Arabia Saudita,Qaisumah,"{'location': {'type': 'Point', 'coordinates': (116.6302585, 30.6592336)}}","{'location': {'type': 'Point', 'coordinates': (116.6302585, 30.6592336)}}"
AQJ, Jordan,Aqaba,"{'location': {'type': 'Point', 'coordinates': (46.127502, 28.3097161)}}","{'location': {'type': 'Point', 'coordinates': (46.127502, 28.3097161)}}"
AQP, Peru,Arequipa,"{'location': {'type': 'Point', 'coordinates': (35.007822, 29.526702)}}","{'location': {'type': 'Point', 'coordinates': (35.007822, 29.526702)}}"
ARC, Estados Unidos,Arctic Village,"{'location': {'type': 'Point', 'coordinates': (-71.5369607, -16.3988667)}}","{'location': {'type': 'Point', 'coordinates': (-71.5369607, -16.3988667)}}"
ARD, Indonesia,Alor Island,"{'location': {'type': 'Point', 'coordinates': (-145.49506707874633, 68.131697)}}","{'location': {'type': 'Point', 'coordinates': (-145.49506707874633, 68.131697)}}"
ARH, Rusia,Arcangel,"{'location': {'type': 'Point', 'coordinates': (124.7777164000955, -8.291144849999998)}}","{'location': {'type': 'Point', 'coordinates': (124.7777164000955, -8.291144849999998)}}"
ARI, Chile,Arica,"{'location': {'type': 'Point', 'coordinates': (40.537121, 64.543022)}}","{'location': {'type': 'Point', 'coordinates': (40.537121, 64.543022)}}"
ARK, Tanzania,Arusha,"{'location': {'type': 'Point', 'coordinates': (-70.3211394, -18.4785288)}}","{'location': {'type': 'Point', 'coordinates': (-70.3211394, -18.4785288)}}"
ARM, Australia,Armidale,"{'location': {'type': 'Point', 'coordinates': (36.8004200748534, -3.52386665)}}","{'location': {'type': 'Point', 'coordinates': (36.8004200748534, -3.52386665)}}"
ARN, Suecia,Estocolmo,"{'location': {'type': 'Point', 'coordinates': (151.6656564, -30.5144881)}}","{'location': {'type': 'Point', 'coordinates': (151.6656564, -30.5144881)}}"
ART, Estados Unidos,Watertown,"{'location': {'type': 'Point', 'coordinates': (18.0710935, 59.3251172)}}","{'location': {'type': 'Point', 'coordinates': (18.0710935, 59.3251172)}}"
ARU, Brasil,Aracatuba,"{'location': {'type': 'Point', 'coordinates': (-71.1828321, 42.3709299)}}","{'location': {'type': 'Point', 'coordinates': (-71.1828321, 42.3709299)}}"
ARX, Brasil,Aracati,"{'location': {'type': 'Point', 'coordinates': (-50.4390225, -21.207992)}}","{'location': {'type': 'Point', 'coordinates': (-50.4390225, -21.207992)}}"
ASB, Turkmenistan,Asjabad,"{'location': {'type': 'Point', 'coordinates': (-37.767894, -4.558259)}}","{'location': {'type': 'Point', 'coordinates': (-37.767894, -4.558259)}}"
ASE, Estados Unidos,Aspen,"{'location': {'type': 'Point', 'coordinates': (58.3823487, 37.9404648)}}","{'location': {'type': 'Point', 'coordinates': (58.3823487, 37.9404648)}}"
ASF, Rusia,Astracan,"{'location': {'type': 'Point', 'coordinates': (-106.8235606, 39.1911128)}}","{'location': {'type': 'Point', 'coordinates': (-106.8235606, 39.1911128)}}"
ASJ, Japon,Amami,"{'location': {'type': 'Point', 'coordinates': (48.0326203, 46.3498308)}}","{'location': {'type': 'Point', 'coordinates': (48.0326203, 46.3498308)}}"
ASM, Eritrea,Asmara,"{'location': {'type': 'Point', 'coordinates': (129.4938985, 28.3776614)}}","{'location': {'type': 'Point', 'coordinates': (129.4938985, 28.3776614)}}"
ASO, Etiopia,Asosa,"{'location': {'type': 'Point', 'coordinates': (38.9326763, 15.3389667)}}","{'location': {'type': 'Point', 'coordinates': (38.9326763, 15.3389667)}}"
ASP, Australia,Alice Springs,"{'location': {'type': 'Point', 'coordinates': (34.5437024, 10.0646352)}}","{'location': {'type': 'Point', 'coordinates': (34.5437024, 10.0646352)}}"
ASR, pavo,Kayseri,"{'location': {'type': 'Point', 'coordinates': (133.8812885, -23.6983884)}}","{'location': {'type': 'Point', 'coordinates': (133.8812885, -23.6983884)}}"
ASS, Sudafrica,Arathusa Safari Lodge,"{'location': {'type': 'Point', 'coordinates': (35.5546374, 38.6582232)}}","{'location': {'type': 'Point', 'coordinates': (35.5546374, 38.6582232)}}"
ASU, Paraguay,Asuncion,"{'location': {'type': 'Point', 'coordinates': (31.5090789, -24.736692)}}","{'location': {'type': 'Point', 'coordinates': (31.5090789, -24.736692)}}"
ASV, Kenia,Amboseli National Park,"{'location': {'type': 'Point', 'coordinates': (-57.6343814, -25.2800459)}}","{'location': {'type': 'Point', 'coordinates': (-57.6343814, -25.2800459)}}"
ASW, Egipto,Asuan,"{'location': {'type': 'Point', 'coordinates': (37.22602053536994, -2.6298084)}}","{'location': {'type': 'Point', 'coordinates': (37.22602053536994, -2.6298084)}}"
ATD, Islas Salomon,Atoifi,"{'location': {'type': 'Point', 'coordinates': (32.4239202, 23.1046213)}}","{'location': {'type': 'Point', 'coordinates': (32.4239202, 23.1046213)}}"
ATH, Grecia,Atenas,"{'location': {'type': 'Point', 'coordinates': (161.0112714, -8.872891)}}","{'location': {'type': 'Point', 'coordinates': (161.0112714, -8.872891)}}"
ATK, Estados Unidos,Atqasuk,"{'location': {'type': 'Point', 'coordinates': (23.7283052, 37.9839412)}}","{'location': {'type': 'Point', 'coordinates': (23.7283052, 37.9839412)}}"
ATL, Estados Unidos,Atlanta,"{'location': {'type': 'Point', 'coordinates': (-157.407991, 70.4784723)}}","{'location': {'type': 'Point', 'coordinates': (-157.407991, 70.4784723)}}"
ATM, Brasil,Altamira,"{'location': {'type': 'Point', 'coordinates': (-84.3902644, 33.7489924)}}","{'location': {'type': 'Point', 'coordinates': (-84.3902644, 33.7489924)}}"
ATQ, India,Amritsar,"{'location': {'type': 'Point', 'coordinates': (-4.1197476, 43.3768445)}}","{'location': {'type': 'Point', 'coordinates': (-4.1197476, 43.3768445)}}"
ATT, Estados Unidos,Atmautluak,"{'location': {'type': 'Point', 'coordinates': (74.8736788, 31.6343083)}}","{'location': {'type': 'Point', 'coordinates': (74.8736788, 31.6343083)}}"
ATW, Estados Unidos,Appleton,"{'location': {'type': 'Point', 'coordinates': (-162.2826096513686, 60.861776000000006)}}","{'location': {'type': 'Point', 'coordinates': (-162.2826096513686, 60.861776000000006)}}"
ATY, Estados Unidos,Watertown,"{'location': {'type': 'Point', 'coordinates': (-88.4069744, 44.2613967)}}","{'location': {'type': 'Point', 'coordinates': (-88.4069744, 44.2613967)}}"
ATZ, Egipto,Asiut,"{'location': {'type': 'Point', 'coordinates': (-71.1828321, 42.3709299)}}","{'location': {'type': 'Point', 'coordinates': (-71.1828321, 42.3709299)}}"
AUA, Aruba,Aruba,"{'location': {'type': 'Point', 'coordinates': (31.1853836, 27.1832822)}}","{'location': {'type': 'Point', 'coordinates': (31.1853836, 27.1832822)}}"
AUC, Colombia,Arauca,"{'location': {'type': 'Point', 'coordinates': (-69.9609842, 12.4902998)}}","{'location': {'type': 'Point', 'coordinates': (-69.9609842, 12.4902998)}}"
AUG, Estados Unidos,Augusta,"{'location': {'type': 'Point', 'coordinates': (-71.0000086, 6.6666755)}}","{'location': {'type': 'Point', 'coordinates': (-71.0000086, 6.6666755)}}"
AUH, Emiratos Arabes Unidos,Abu Dabi,"{'location': {'type': 'Point', 'coordinates': (-81.9748429, 33.4709714)}}","{'location': {'type': 'Point', 'coordinates': (-81.9748429, 33.4709714)}}"
AUQ, Polinesia frances,Hiva Oa,"{'location': {'type': 'Point', 'coordinates': (54.3774014, 24.4538352)}}","{'location': {'type': 'Point', 'coordinates': (54.3774014, 24.4538352)}}"
AUR, Francia,Aurillac,"{'location': {'type': 'Point', 'coordinates': (-139.00678353699942, -9.77932555)}}","{'location': {'type': 'Point', 'coordinates': (-139.00678353699942, -9.77932555)}}"
AUS, Estados Unidos,Austin,"{'location': {'type': 'Point', 'coordinates': (2.4433101, 44.9285441)}}","{'location': {'type': 'Point', 'coordinates': (2.4433101, 44.9285441)}}"
AUU, Australia,Aurukun,"{'location': {'type': 'Point', 'coordinates': (-97.7436995, 30.2711286)}}","{'location': {'type': 'Point', 'coordinates': (-97.7436995, 30.2711286)}}"
AUX, Brasil,Araguaina,"{'location': {'type': 'Point', 'coordinates': (141.77068488792847, -13.6020675)}}","{'location': {'type': 'Point', 'coordinates': (141.77068488792847, -13.6020675)}}"
AUY, Vanuatu,Aneityum,"{'location': {'type': 'Point', 'coordinates': (-48.2018597, -7.193241)}}","{'location': {'type': 'Point', 'coordinates': (-48.2018597, -7.193241)}}"
AVA, China,Anshun,"{'location': {'type': 'Point', 'coordinates': (169.8251760485294, -20.1937608)}}","{'location': {'type': 'Point', 'coordinates': (169.8251760485294, -20.1937608)}}"
AVL, Estados Unidos,Asheville,"{'location': {'type': 'Point', 'coordinates': (105.9437773, 26.254911)}}","{'location': {'type': 'Point', 'coordinates': (105.9437773, 26.254911)}}"
AVN, Francia,Avinon,"{'location': {'type': 'Point', 'coordinates': (-82.5540161, 35.6009498)}}","{'location': {'type': 'Point', 'coordinates': (-82.5540161, 35.6009498)}}"
AVP, Estados Unidos,Wilkes-Barre,"{'location': {'type': 'Point', 'coordinates': (4.8059012, 43.9492493)}}","{'location': {'type': 'Point', 'coordinates': (4.8059012, 43.9492493)}}"
AVV, Australia,Melbourne,"{'location': {'type': 'Point', 'coordinates': (-75.8817316, 41.2464824)}}","{'location': {'type': 'Point', 'coordinates': (-75.8817316, 41.2464824)}}"
AWA, Etiopia,Awasa,"{'location': {'type': 'Point', 'coordinates': (144.9631608, -37.8142176)}}","{'location': {'type': 'Point', 'coordinates': (144.9631608, -37.8142176)}}"
AWD, Vanuatu,Aniwa Island,"{'location': {'type': 'Point', 'coordinates': (38.47861, 7.0481029)}}","{'location': {'type': 'Point', 'coordinates': (38.47861, 7.0481029)}}"
AWZ, Corri,Ahwaz,"{'location': {'type': 'Point', 'coordinates': (169.60091068768887, -19.2440812)}}","{'location': {'type': 'Point', 'coordinates': (169.60091068768887, -19.2440812)}}"
AXA, Anguilla,Anguilla,"{'location': {'type': 'Point', 'coordinates': (48.6793316, 31.3229936)}}","{'location': {'type': 'Point', 'coordinates': (48.6793316, 31.3229936)}}"
AXD, Grecia,Alejandropolis,"{'location': {'type': 'Point', 'coordinates': (-63.0750234, 18.1954947)}}","{'location': {'type': 'Point', 'coordinates': (-63.0750234, 18.1954947)}}"
AXF, China,Alxa,"{'location': {'type': 'Point', 'coordinates': (25.8753275, 40.845692)}}","{'location': {'type': 'Point', 'coordinates': (25.8753275, 40.845692)}}"
AXJ, Japon,Amakusa,"{'location': {'type': 'Point', 'coordinates': (105.7247185, 38.8505371)}}","{'location': {'type': 'Point', 'coordinates': (105.7247185, 38.8505371)}}"
AXM, Colombia,Armenia,"{'location': {'type': 'Point', 'coordinates': (130.0693626, 32.4548899)}}","{'location': {'type': 'Point', 'coordinates': (130.0693626, 32.4548899)}}"
AXP, Bahamas,Spring Point,"{'location': {'type': 'Point', 'coordinates': (44.6736646, 40.7696272)}}","{'location': {'type': 'Point', 'coordinates': (44.6736646, 40.7696272)}}"
AXR, Polinesia frances,Arutua,"{'location': {'type': 'Point', 'coordinates': (-110.0078163, 38.6406165)}}","{'location': {'type': 'Point', 'coordinates': (-110.0078163, 38.6406165)}}"
AXT, Japon,Akita,"{'location': {'type': 'Point', 'coordinates': (-146.77073638447735, -15.2198385)}}","{'location': {'type': 'Point', 'coordinates': (-146.77073638447735, -15.2198385)}}"
AYM, Emiratos Arabes Unidos,Yas Island,"{'location': {'type': 'Point', 'coordinates': (140.342608, 39.6898802)}}","{'location': {'type': 'Point', 'coordinates': (140.342608, 39.6898802)}}"
AYP, Peru,Ayacucho,"{'location': {'type': 'Point', 'coordinates': (54.609071208669036, 24.48640395)}}","{'location': {'type': 'Point', 'coordinates': (54.609071208669036, 24.48640395)}}"
AYQ, Australia,Uluru,"{'location': {'type': 'Point', 'coordinates': (-74.0, -14.0)}}","{'location': {'type': 'Point', 'coordinates': (-74.0, -14.0)}}"
AYT, pavo,Antalya,"{'location': {'type': 'Point', 'coordinates': (131.03696147470208, -25.3455545)}}","{'location': {'type': 'Point', 'coordinates': (131.03696147470208, -25.3455545)}}"
AZA, Estados Unidos,Phoenix,"{'location': {'type': 'Point', 'coordinates': (30.6954846, 36.9009641)}}","{'location': {'type': 'Point', 'coordinates': (30.6954846, 36.9009641)}}"
AZD, Corri,Yazd,"{'location': {'type': 'Point', 'coordinates': (-112.0741417, 33.4484367)}}","{'location': {'type': 'Point', 'coordinates': (-112.0741417, 33.4484367)}}"
AZN, Uzbekistan,Andizhan,"{'location': {'type': 'Point', 'coordinates': (54.6657189, 32.0406164)}}","{'location': {'type': 'Point', 'coordinates': (54.6657189, 32.0406164)}}"
AZO, Estados Unidos,Kalamazoo,"{'location': {'type': 'Point', 'coordinates': (68.2416125, 40.6108999)}}","{'location': {'type': 'Point', 'coordinates': (68.2416125, 40.6108999)}}"
AZR, Argelia,Adrar,"{'location': {'type': 'Point', 'coordinates': (-85.5872286, 42.291707)}}","{'location': {'type': 'Point', 'coordinates': (-85.5872286, 42.291707)}}"
AZS, Republica Dominicana,Santa Barbara de Samana,"{'location': {'type': 'Point', 'coordinates': (-1.3582442169365363, 26.4888155)}}","{'location': {'type': 'Point', 'coordinates': (-1.3582442169365363, 26.4888155)}}"
BAH, Bahrein,Bahrain Island,"{'location': {'type': 'Point', 'coordinates': (-69.3362252, 19.2055052)}}","{'location': {'type': 'Point', 'coordinates': (-69.3362252, 19.2055052)}}"
BAL, pavo,Batman,"{'location': {'type': 'Point', 'coordinates': (50.55329219250496, 26.02690055)}}","{'location': {'type': 'Point', 'coordinates': (50.55329219250496, 26.02690055)}}"
BAQ, Colombia,Barranquilla,"{'location': {'type': 'Point', 'coordinates': (41.2573924, 37.7874104)}}","{'location': {'type': 'Point', 'coordinates': (41.2573924, 37.7874104)}}"
BAR, China,Qionghai,"{'location': {'type': 'Point', 'coordinates': (-74.8013085, 10.9799669)}}","{'location': {'type': 'Point', 'coordinates': (-74.8013085, 10.9799669)}}"
BAS, Islas Salomon,Balalae Island,"{'location': {'type': 'Point', 'coordinates': (110.4703445, 19.2592373)}}","{'location': {'type': 'Point', 'coordinates': (110.4703445, 19.2592373)}}"
BAV, China,Baotou,"{'location': {'type': 'Point', 'coordinates': (155.88388868424315, -6.9919996)}}","{'location': {'type': 'Point', 'coordinates': (155.88388868424315, -6.9919996)}}"
BAX, Rusia,Barnaul,"{'location': {'type': 'Point', 'coordinates': (109.8344586, 40.6549157)}}","{'location': {'type': 'Point', 'coordinates': (109.8344586, 40.6549157)}}"
BAY, Rumania,Baia Mare,"{'location': {'type': 'Point', 'coordinates': (83.72283893620776, 53.334752699999996)}}","{'location': {'type': 'Point', 'coordinates': (83.72283893620776, 53.334752699999996)}}"
BBA, Chile,Balmaceda,"{'location': {'type': 'Point', 'coordinates': (23.5719843, 47.6565584)}}","{'location': {'type': 'Point', 'coordinates': (23.5719843, 47.6565584)}}"
BBG, Kiribati,Butaritari Atoll,"{'location': {'type': 'Point', 'coordinates': (-71.6997225, -45.9093931)}}","{'location': {'type': 'Point', 'coordinates': (-71.6997225, -45.9093931)}}"
BBI, India,Bhubaneshwar,"{'location': {'type': 'Point', 'coordinates': (172.8008486, 3.1530346)}}","{'location': {'type': 'Point', 'coordinates': (172.8008486, 3.1530346)}}"
BBK, Botswana,Kasane,"{'location': {'type': 'Point', 'coordinates': (85.8394521, 20.2602964)}}","{'location': {'type': 'Point', 'coordinates': (85.8394521, 20.2602964)}}"
BBN, Malasia,Bario,"{'location': {'type': 'Point', 'coordinates': (25.156546, -17.799239)}}","{'location': {'type': 'Point', 'coordinates': (25.156546, -17.799239)}}"
BBO, Somalia,Berbera,"{'location': {'type': 'Point', 'coordinates': (115.4603708, 3.7479196)}}","{'location': {'type': 'Point', 'coordinates': (115.4603708, 3.7479196)}}"
BCD, Filipinas,Bacolod,"{'location': {'type': 'Point', 'coordinates': (45.0134007, 10.4386215)}}","{'location': {'type': 'Point', 'coordinates': (45.0134007, 10.4386215)}}"
BCI, Australia,Barcaldine,"{'location': {'type': 'Point', 'coordinates': (122.9513786, 10.6762836)}}","{'location': {'type': 'Point', 'coordinates': (122.9513786, 10.6762836)}}"
BCM, Rumania,Bacau,"{'location': {'type': 'Point', 'coordinates': (145.821273233285, -23.05188)}}","{'location': {'type': 'Point', 'coordinates': (145.821273233285, -23.05188)}}"
BCN, Espana,Barcelona,"{'location': {'type': 'Point', 'coordinates': (26.71205400126924, 46.42613415)}}","{'location': {'type': 'Point', 'coordinates': (26.71205400126924, 46.42613415)}}"
BCO, Etiopia,Jinka,"{'location': {'type': 'Point', 'coordinates': (2.1774322, 41.3828939)}}","{'location': {'type': 'Point', 'coordinates': (2.1774322, 41.3828939)}}"
BCU, Nigeria,Bauchi,"{'location': {'type': 'Point', 'coordinates': (36.5651822, 5.7859931)}}","{'location': {'type': 'Point', 'coordinates': (36.5651822, 5.7859931)}}"
BDA, islas Bermudas,Bermuda,"{'location': {'type': 'Point', 'coordinates': (10.0287754, 10.6228284)}}","{'location': {'type': 'Point', 'coordinates': (10.0287754, 10.6228284)}}"
BDB, Australia,Bundaberg Region,"{'location': {'type': 'Point', 'coordinates': (-64.7603583, 32.3018217)}}","{'location': {'type': 'Point', 'coordinates': (-64.7603583, 32.3018217)}}"
BDD, Australia,Badu Island,"{'location': {'type': 'Point', 'coordinates': (152.380408740086, -24.9724295)}}","{'location': {'type': 'Point', 'coordinates': (152.380408740086, -24.9724295)}}"
BDH, Corri,Bandar Lengeh,"{'location': {'type': 'Point', 'coordinates': (142.14072910373415, -10.12096135)}}","{'location': {'type': 'Point', 'coordinates': (142.14072910373415, -10.12096135)}}"
BDJ, Indonesia,Banjarmasin,"{'location': {'type': 'Point', 'coordinates': (54.883817, 26.5620668)}}","{'location': {'type': 'Point', 'coordinates': (54.883817, 26.5620668)}}"
BDL, Estados Unidos,Hartford,"{'location': {'type': 'Point', 'coordinates': (114.5925828, -3.3187496)}}","{'location': {'type': 'Point', 'coordinates': (114.5925828, -3.3187496)}}"
BDO, Indonesia,Bandung,"{'location': {'type': 'Point', 'coordinates': (-72.6908547, 41.764582)}}","{'location': {'type': 'Point', 'coordinates': (-72.6908547, 41.764582)}}"
BDP, Mechi,Bhadrapur,"{'location': {'type': 'Point', 'coordinates': (107.6049539, -6.9344694)}}","{'location': {'type': 'Point', 'coordinates': (107.6049539, -6.9344694)}}"
BDQ, India,Vadodara,"{'location': {'type': 'Point', 'coordinates': (88.0753766174081, 26.5256568)}}","{'location': {'type': 'Point', 'coordinates': (88.0753766174081, 26.5256568)}}"
BDS, Italia,Brindisi,"{'location': {'type': 'Point', 'coordinates': (73.1942567, 22.2973142)}}","{'location': {'type': 'Point', 'coordinates': (73.1942567, 22.2973142)}}"
BDU, Noruega,Andselv,"{'location': {'type': 'Point', 'coordinates': (17.688443357842537, 40.63591975)}}","{'location': {'type': 'Point', 'coordinates': (17.688443357842537, 40.63591975)}}"
BEB, Reino Unido,Benbecula,"{'location': {'type': 'Point', 'coordinates': 'nwoknU'}}","{'location': {'type': 'Point', 'coordinates': 'nwoknU'}}"
BEF, Nicaragua,Bluefields,"{'location': {'type': 'Point', 'coordinates': (-7.337765904826108, 57.4463861)}}","{'location': {'type': 'Point', 'coordinates': (-7.337765904826108, 57.4463861)}}"
